AWL,ASL,NWO,NVB,NAJ,NPV,NST,CDV,NTP,TPR,Real=1/Fake=0
4.6747,16.6,83,12,5,0,5,0.9535,0,0.0,0
4.1121,17.8333,107,15,8,1,6,0.9592,1,0.0093,0
3.5536,16.0,112,15,4,2,7,0.881,0,0.0,0
4.4828,14.5,58,7,7,0,4,0.9259,0,0.0,0
4.493,14.2,71,10,7,0,5,0.9459,0,0.0,0
4.1524,11.6667,105,15,5,1,9,0.8727,0,0.0,0
4.2784,13.8571,97,18,7,1,7,0.8542,0,0.0,0
3.8198,13.875,111,13,7,0,8,0.8605,0,0.0,0
3.9351,8.5556,77,5,8,0,9,0.7436,0,0.0,0
4.5312,16.0,96,10,6,2,6,0.9487,0,0.0,0
4.1574,12.0,108,19,14,0,9,0.8077,1,0.0093,0
4.3784,14.8,74,7,7,0,5,0.9189,0,0.0,0
4.7051,78.0,78,9,12,1,1,0.7826,1,0.0128,1
4.1739,15.3333,230,23,26,0,15,0.7982,4,0.0174,1
4.847,13.0714,183,17,41,0,14,0.8302,0,0.0,1
4.0563,17.75,71,10,6,0,4,0.8889,0,0.0,1
4.1351,10.5714,74,11,5,0,7,0.9429,0,0.0,1
4.2222,9.0,36,7,4,0,4,0.9474,0,0.0,1
3.9349,28.1667,169,22,19,0,6,0.8356,1,0.0059,1
4.5614,10.3636,114,18,14,2,11,0.9821,0,0.0,1
4.7222,6.0,36,1,7,0,6,0.913,0,0.0,1
4.6379,9.6667,58,4,8,0,6,0.9714,0,0.0,1
4.3382,17.0,68,5,12,0,4,0.8438,0,0.0,1
4.3673,9.8,49,5,8,1,5,0.8636,2,0.0408,1
4.02,12.5,50,8,5,0,4,0.8571,0,0.0,0
4.339,14.75,59,5,6,0,4,0.871,0,0.0,0
4.3385,21.6667,65,6,8,0,3,0.7714,0,0.0,0
4.5625,9.6,48,4,4,1,5,0.9545,0,0.0,0
4.5283,13.25,53,6,6,0,4,0.7742,0,0.0,0
4.1871,19.8571,139,14,17,1,7,0.9032,1,0.0072,1
4.2805,13.6667,82,10,10,0,6,0.9118,0,0.0,1
4.2427,17.1667,103,12,9,2,6,0.875,0,0.0,1
4.7959,24.5,49,5,7,0,2,0.9,0,0.0,1
4.3472,24.0,72,7,7,0,3,0.9714,0,0.0,1
4.2535,11.8333,71,11,5,1,6,0.9118,0,0.0,0
3.7763,15.2,76,8,11,0,5,0.7105,0,0.0,0
4.3768,17.25,69,7,7,0,4,0.7429,0,0.0,0
3.9111,15.0,45,3,4,0,3,0.75,0,0.0,0
3.5857,17.5,70,8,4,0,4,0.88,0,0.0,0
4.2955,17.6,88,15,4,0,5,0.7805,0,0.0,0
4.0541,14.8,74,8,3,0,5,0.8286,0,0.0,0
4.0455,11.0,66,6,8,0,6,0.9,0,0.0,0
3.8352,22.75,91,10,13,0,4,0.8974,2,0.022,1
3.8415,10.25,82,11,7,0,8,0.8649,0,0.0,1
3.949,14.0,98,14,11,0,7,0.8478,0,0.0,1
3.9439,8.2308,107,8,8,1,13,0.9592,0,0.0,1
4.1159,17.25,69,6,6,1,4,0.9189,0,0.0,1
4.4065,12.3,123,16,14,0,10,0.9565,2,0.0163,1
3.7922,11.0,77,11,1,2,7,0.8537,0,0.0,1
4.0192,17.3333,208,31,20,0,12,0.8265,0,0.0,1
4.5303,16.5,66,8,6,0,4,0.8378,0,0.0,0
4.3333,13.8,69,6,8,0,5,0.9091,0,0.0,0
3.7922,15.4,77,13,3,0,5,0.9697,1,0.013,0
4.0845,11.8333,71,8,7,1,6,0.9697,1,0.0141,0
3.9302,10.75,86,13,7,0,8,0.7778,0,0.0,0
4.1299,9.625,77,10,5,0,8,0.9487,0,0.0,0
4.1341,10.25,82,4,16,0,8,0.8182,1,0.0122,0
4.2025,11.6429,163,21,21,0,14,0.9024,0,0.0,1
4.169,12.9091,142,16,12,0,11,0.9028,0,0.0,1
4.7455,6.1111,55,6,8,0,9,0.9667,1,0.0182,1
3.9189,37.0,185,33,5,1,5,0.7416,1,0.0054,1
4.06,7.1429,50,5,5,0,7,0.84,1,0.02,1
4.3333,12.0,48,5,7,0,4,1.0,0,0.0,1
4.5789,12.6667,76,8,8,0,6,0.8857,0,0.0,1
4.12,8.3333,25,3,2,0,3,0.9167,0,0.0,0
3.9661,11.8,59,7,5,0,5,0.9167,1,0.0169,0
4.037,9.0,54,10,1,0,6,0.8519,0,0.0,0
